(A)chondrite,id,Class,Country,latitude,longitude,ff,Group,Locality,mck,Month,Name,Petrologic type,Recovered weight,Shock stage,Synonyms,Type,wg,Year
Chondrite,26478,Ordinary,England,51.7833,-1.7833,Fall,LL,Gloucestershire,A1030,August,Aldsworth,5,0.7,,Cirencester,Stone,,1835.0
,26481,Coarse octahedrite,USA,35.75,-81.25,Find,IAB,North Carolina,A1090,,Alexander County,Og,,,Cedar Creek,Iron,,1875.0
,26488,Medium octahedrite,USA,44.65,-87.4667,Find,IIICD,Wisconsin,A1200,,Algoma,Om,4.1,,,Iron,,1887.0
,26490,Medium octahedrite,Russia,67.8833,167.5,Find,IIIAB,Chukot Province,A1248,July,Aliskerovo,Om,58.4,,,Iron,,1977.0
,26495,,Antarctica,-76.7167,159.6667,Find,IAB,Victoria Land,A1276.2,,Allan Hills 76002,,1.51,,,Iron,,1976.0
Achondrite,26498,Eucrite,Antarctica,-76.7167,159.6667,Find,EUC,Victoria Land,A1276.5,,Allan Hills 76005,,1.425,,,Stone,A,1976.0
Chondrite,26505,Carbonaceous,Antarctica,-76.7167,159.6667,Find,CO,Victoria Land,A1277.003,,Allan Hills 77003,3,0.7796000000000001,S1,,Stone,Ae,1977.0
Chondrite,26511,Ordinary,Antarctica,-76.7167,159.6667,Find,H,Victoria Land,A1277.010,,Allan Hills 77010,4,0.2958,,,Stone,C,1977.0
Chondrite,26515,Ordinary,Antarctica,-76.7167,159.6667,Find,H,Victoria Land,A1277.014,,Allan Hills 77014,5,0.3088,,,Stone,C,1977.0
Chondrite,26519,Ordinary,Antarctica,-76.7167,159.6667,Find,H,Victoria Land,A1277.018,,Allan Hills 77018,5,0.0518,,,Stone,B/C,1977.0
Chondrite,26524,Ordinary,Antarctica,-76.7167,159.6667,Find,H,Victoria Land,A1277.024,,Allan Hills 77024,4,0.01075,,,Stone,,1977.0
Chondrite,26534,Ordinary,Antarctica,-76.7167,159.6667,Find,L,Victoria Land,A1277.034,,Allan Hills 77034,3,0.0018,,,Stone,B/C,1977.0
Chondrite,26542,Ordinary,Antarctica,-76.7167,159.6667,Find,H,Victoria Land,A1277.042,,Allan Hills 77042,5,0.0203999999999999,,,Stone,A/B,1977.0
Chondrite,26545,Ordinary,Antarctica,-76.7167,159.6667,Find,H,Victoria Land,A1277.045,,Allan Hills 77045,5,0.0179,,,Stone,A,1977.0
Chondrite,26547,Ordinary,Antarctica,-76.7167,159.6667,Find,L,Victoria Land,A1277.047,,Allan Hills 77047,3,0.0205,,,Stone,C,1977.0
Chondrite,26549,Ordinary,Antarctica,-76.7167,159.6667,Find,L,Victoria Land,A1277.049,,Allan Hills 77049,3,0.0073,,,Stone,B/C,1977.0
Chondrite,26567,Ordinary,Antarctica,-76.7167,159.6667,Find,H,Victoria Land,A1277.067,,Allan Hills 77067,4,0.00409,,,Stone,,1977.0
Chondrite,26568,Ordinary,Antarctica,-76.7167,159.6667,Find,L,Victoria Land,A1277.069,,Allan Hills 77069,6,0.0008,,,Stone,B/C,1977.0
Chondrite,26572,Ordinary,Antarctica,-76.7167,159.6667,Find,H,Victoria Land,A1277.073,,Allan Hills 77073,5,0.0101,,,Stone,A/B,1977.0
Chondrite,26578,Ordinary,Antarctica,-76.7167,159.6667,Find,H,Victoria Land,A1277.079,,Allan Hills 77079,5,0.0078,,,Stone,A,1977.0
Chondrite,26581,Ordinary,Antarctica,-76.7167,159.6667,Find,H,Victoria Land,A1277.082,,Allan Hills 77082,5,0.012,,,Stone,A/B,1977.0
Chondrite,26584,Ordinary,Antarctica,-76.7167,159.6667,Find,H,Victoria Land,A1277.085,,Allan Hills 77085,5,0.0458999999999999,,,Stone,B,1977.0
Chondrite,26585,Ordinary,Antarctica,-76.7167,159.6667,Find,H,Victoria Land,A1277.086,,Allan Hills 77086,5,0.0193999999999999,,,Stone,C,1977.0
Chondrite,26588,Ordinary,Antarctica,-76.7167,159.6667,Find,L,Victoria Land,A1277.089,,Allan Hills 77089,6,0.0078,,,Stone,B,1977.0
Chondrite,26591,Ordinary,Antarctica,-76.7167,159.6667,Find,H,Victoria Land,A1277.092,,Allan Hills 77092,5,0.045,,,Stone,A,1977.0
Chondrite,26594,Ordinary,Antarctica,-76.7167,159.6667,Find,H,Victoria Land,A1277.095,,Allan Hills 77095,4,0.00447,,,Stone,,1977.0
Chondrite,26597,Ordinary,Antarctica,-76.7167,159.6667,Find,H,Victoria Land,A1277.098,,Allan Hills 77098,5,0.008,,,Stone,B,1977.0
Chondrite,26599,Ordinary,Antarctica,-76.7167,159.6667,Find,H,Victoria Land,A1277.100,,Allan Hills 77100,5,0.0182,,,Stone,A/B,1977.0
Chondrite,26602,Ordinary,Antarctica,-76.7167,159.6667,Find,H,Victoria Land,A1277.103,,Allan Hills 77103,5,0.00413,,,Stone,,1977.0
Chondrite,26604,Ordinary,Antarctica,-76.7167,159.6667,Find,H,Victoria Land,A1277.105,,Allan Hills 77105,4,0.00344,,,Stone,,1977.0
Chondrite,26612,Ordinary,Antarctica,-76.7167,159.6667,Find,H,Victoria Land,A1277.114,,Allan Hills 77114,5,0.0445,,,Stone,B,1977.0
Chondrite,26618,Ordinary,Antarctica,-76.7167,159.6667,Find,H,Victoria Land,A1277.120,,Allan Hills 77120,5,0.0039,,,Stone,A/B,1977.0
Chondrite,26625,Ordinary,Antarctica,-76.7167,159.6667,Find,L,Victoria Land,A1277.127,,Allan Hills 77127,5,0.0038,,,Stone,B,1977.0
Chondrite,26626,Ordinary,Antarctica,-76.7167,159.6667,Find,H,Victoria Land,A1277.128,,Allan Hills 77128,5,0.00377,,,Stone,,1977.0
Chondrite,26628,Ordinary,Antarctica,-76.7167,159.6667,Find,H,Victoria Land,A1277.130,,Allan Hills 77130,5,0.0248,,,Stone,A,1977.0
Chondrite,26635,Ordinary,Antarctica,-76.7167,159.6667,Find,H,Victoria Land,A1277.137,,Allan Hills 77137,5,0.00513,,,Stone,,1977.0
Chondrite,26645,Ordinary,Antarctica,-76.7167,159.6667,Find,H,Victoria Land,A1277.147,,Allan Hills 77147,6,0.0186999999999999,,,Stone,A/B,1977.0
Chondrite,26650,Ordinary,Antarctica,-76.7167,159.6667,Find,H,Victoria Land,A1277.152,,Allan Hills 77152,5,0.0178,,,Stone,A,1977.0
Chondrite,26651,Ordinary,Antarctica,-76.7167,159.6667,Find,H,Victoria Land,A1277.153,,Allan Hills 77153,5,0.012,,,Stone,A,1977.0
Chondrite,26654,Enstatite,Antarctica,-76.7167,159.6667,Find,EH,Victoria Land,A1277.156,,Allan Hills 77156,3,0.0177,S4,,Stone,B,1977.0
Chondrite,26658,Ordinary,Antarctica,-76.7167,159.6667,Find,L,Victoria Land,A1277.160,,Allan Hills 77160,3,0.0704,,,Stone,C,1977.0
Chondrite,26665,Ordinary,Antarctica,-76.7167,159.6667,Find,L,Victoria Land,A1277.167,,Allan Hills 77167,3,0.6112000000000001,,,Stone,C,1977.0
Chondrite,26669,Ordinary,Antarctica,-76.7167,159.6667,Find,H,Victoria Land,A1277.171,,Allan Hills 77171,5,0.0238,,,Stone,A/B,1977.0
